,Company,City,Started_in,Founders,Industries,Number_of_employees,Funding_amount,Number_of_funding_rounds,Number_of_investors
0,Celonis, Munich, 2011," Alexander Rinke, Bastian Nominacher, Martin Klenk"," Analytics, Business Intelligence, SaaS, Software", 1001-5000," $1,367,500,000", 4, 9
1,TradeRepublic, Berlin, , , , 51-100," $87,201,448", , 
2,Ada, Berlin, 2011," Claire Novorol, Daniel Nathrath, Martin Hirsch"," Apps, Artificial Intelligence, Health Care, Medical, mHealth", 101-250," $159,497,394", 4, 10
3,Delivery, Berlin, , , , 10001," $5,144,433,803", , 
4,uberall, Berlin, 2012," David Federhen, Florian Hubner, Josha Benner"," Information Technology, Location Based Services, Marketing", 101-250," $170,800,000", 8, 7
5,TIER, Berlin, 2018," Julian Blessin, Lawrence Leuschner, Matthias Laug"," Electric Vehicle, GreenTech, Last Mile Transportation, Ride Sharing", 501-1000," $447,948,158", 6, 18
6,Foodpanda, Berlin, 2012," Benjamin Bauer, Christian Mischler, Felix Plog, Kiren Tanna, Ralf Wenzel, Rico Wyder, Rohit Chadda, Simon Schmincke"," Delivery, E-Commerce, Food Delivery, Marketplace", 1001-5000," $749,450,000", 8, 8
7,Scalable, Munich, 2014," Adam French, Erik Podzuweit, Florian Prucker, Manuela Rabener, Patrick Poschl, Simon Miller, Stefan Mittnik"," Asset Management, Financial Services, FinTech", 101-250," € 266,000,000", 6, 10
8,Trade, Berlin, 2015," Christian Hecker, Marco Cancellieri, Thomas Pischke"," Finance, Financial Services, FinTech, Mobile", 251-500," $995,500,000", 4, 8
9,FlixBus, Munich, 2011," Andre Schwammlein, Daniel Krauss, Jochen Engert"," Public Transportation, Transportation, Travel", 1001-5000," $1,213,056,722", 7, 16
10,wefox, Berlin, 2015," Dario Fazlic, Fabian Wesemann, Jonathan Seoane, Julian Teicke, Teodoro Martino"," FinTech, Insurance, InsurTech, Software", 501-1000," $918,500,000", 6, 38
11,HelloFresh, Berlin, , , , 1001-5000," $367,459,141", , 
12,SoundCloud, Berlin, 2007," Alexander Ljung, Eric Quidenus-Wahlforss"," Apps, Audio, Independent Music, Music, Music Streaming", 251-500," $542,820,688", 10, 17
13,Mambu, Berlin, 2011," Eugene Danilkis, Frederik Pfisterer, Sofia Nunes"," Banking, Financial Services, FinTech, Lending", 251-500," € 152,000,000", 6, 9
14,Lilium, Weßling, 2015," Daniel Wiegand, Matthias Meiner, Patrick Nathen, Sebastian Born"," Aerospace, Air Transportation, Transportation", 501-1000," $376,400,000", 5, 6
15,Flink, Berlin, 2020," Christoph Cordes, Julian Dames, Nikolas Bullwinkel, Oliver Merkel, Saad Saeed"," E-Commerce, Food and Beverage, Grocery, Internet", 101-250," $304,187,200", 3, 8
16,Razor, Berlin, 2020," Christoph F. Gamon, Jonas Diezun, Oliver Dlugosch, Shrestha Chowdhury, Tushar Ahluwalia"," Brand Marketing, Business Development, E-Commerce, Internet, Retail", 101-250," € 362,333,333", 6, 9
17,Forto, Berlin, 2016," Erik Muttersbach, Fabian Heilemann, Ferry Heilemann, Michael Wax"," Freight Service, Logistics, Real Time, Shipping, Software, Supply Chain Management, Transportation", 501-1000," $103,000,000", 4, 13
18,Sanity, Berlin, 2018," Fabian Friede, Finn Age Haensel"," Biotechnology, Cannabis, Medical, Wellness", 11-50," $78,559,152", 5, 18
19,WunderMobility, Hamburg, , , , 101-250," $70,000,000", , 
20,OroraTech, Munich, 2018," Björn Stoffers, Florian Mauracher, Rupert Amann, Thomas Grübler"," Forestry, Image Recognition, Information Services, Software", 11-50," € 7,415,000", 6, 11
21,YFood, Munich, , , , 51-100," $22,600,000", , 
22,Habyt, Berlin, 2017, Luca Bovone," Communities, Coworking, Health Care, Lifestyle, Property Management, Real Estate, Smart Building", 11-50," € 29,800,000", 5, 6
23,OneFootball, Berlin, 2008, Lucas Cranach," Apps, Mobile Apps, News, Software, Sports", 251-500," $141,957,137", 5, 5
24,parcelLab, Munich, 2015," Anton Eder, Julian Krenge, Tobias Buxhoidt"," Delivery, Logistics, Shipping, Software", 101-250," $112,055,104", 5, 10
25,ELEMENT, Berlin, 2017," Henning Groß, Inna Leontenkova, Richard Hector, Sascha Herwig"," B2B, Financial Services, Insurance, InsurTech", 101-250," € 66,000,000", 5, 14
26,Contentful, Berlin, 2013," Paolo Negri, Sascha Konietzke"," Apps, Cloud Computing, Content, Developer Tools, SaaS", 251-500," $159,600,000", 7, 12
27,Spryker, Berlin, 2014," Alexander Graf, Boris Lokschin"," B2B, B2C, E-Commerce Platforms, Enterprise Software, SaaS", 251-500," $152,000,000", 3, 5
28,ATAI, Munich, 2018," Christian Angermayer, Florian Brand, Lars Christian Wilde, Srinivas Rao"," Biotechnology, Health Care, Life Science, Therapeutics", 11-50," $347,100,000", 8, 31
29,Adjust, Berlin, 2012," Christian Henschel, Manuel Kniep, Paul Müller"," Analytics, App Marketing, Apps, Marketing Automation, Software", 501-1000," $255,910,524", 6, 9
30,TIER, Berlin, , , , 251-500," $130,993,609", , 
31,CoachHub, Berlin, 2018," Matti Niebelschuetz, Yannis Niebelschuetz"," Artificial Intelligence, Corporate Training, Personal Development, SaaS, Software, Training", 251-500," $54,000,000", 3, 8
32,Vivid, Berlin, 2020," Alexander Emeshev, Artem Yamanov"," Banking, Financial Services, FinTech, Mobile Apps", 101-250," € 75,000,000", 2, 2
33,DHL, Bonn, 1969, ," Logistics, Supply Chain Management", 1-10," SEK32,000,000", 1, 1
34,Infarm, Berlin, 2013," Erez Galonska, Guy Galonska, Osnat Michaeli"," Agriculture, AgTech, Internet of Things, Machine Learning", 251-500," $404,522,397", 9, 20
35,Solarisbank, Berlin, 2016," Andreas Bittner, Marko Wenthin"," Banking, Financial Services, FinTech, Information Technology", 251-500," € 155,100,000", 4, 16
